name,url
Arlington Hotels,https://www.marriott.com/hotel-search/arlington.hotels.virginia.united-states.travel/
Bahamas Hotels,https://www.marriott.com/hotel-search/bahamas.hotels/
Bali Hotels,https://www.marriott.com/hotel-search/bali.hotels.indonesia.travel/
Baltimore Hotels,https://www.marriott.com/hotel-search/baltimore.hotels.maryland.united-states.travel/
Bangkok Hotels,https://www.marriott.com/hotel-search/bangkok.hotels.thailand.travel/
Barcelona Hotels,https://www.marriott.com/hotel-search/barcelona.hotels.spain.travel/
Cabo San Lucas Hotels,https://www.marriott.com/hotel-search/cabo-san-lucas.hotels.mexico.travel/
Charleston Hotels,https://www.marriott.com/hotel-search/charleston.hotels.south-carolina.united-states.travel/
Clearwater Beach Hotels,https://www.marriott.com/hotel-search/clearwater-beach.hotels.florida.united-states.travel/
Curacao Hotels,https://www.marriott.com/hotel-search/curacao.hotels.curacao.travel/
Dubai Hotels,https://www.marriott.com/hotel-search/dubai.hotels.united-arab-emirates.travel/
Dublin Hotels,https://www.marriott.com/hotel-search/dublin.hotels.ireland.travel/
Florence Hotels,https://www.marriott.com/hotel-search/florence.hotels.italy.travel/
Fort Worth Hotels,https://www.marriott.com/hotel-search/fort-worth.hotels.texas.united-states.travel/
Jacksonville Hotels,https://www.marriott.com/hotel-search/jacksonville.hotels.florida.united-states.travel/
Kansas City Hotels,https://www.marriott.com/hotel-search/kansas-city.hotels.missouri.united-states.travel/
Madrid Hotels,https://www.marriott.com/hotel-search/madrid.hotels.spain.travel/
Manila Hotels,https://www.marriott.com/hotel-search/manila.hotels.philippines.travel/
Marco Island Hotels,https://www.marriott.com/hotel-search/marco-island.hotels.florida.united-states.travel/
Memphis Hotels,https://www.marriott.com/hotel-search/memphis.hotels.tennessee.united-states.travel/
Miami Beach Hotels,https://www.marriott.com/hotel-search/miami-beach.hotels.florida.united-states.travel/
Montreal Hotels,https://www.marriott.com/hotel-search/montreal.hotels.canada.travel/
Myrtle Beach Hotels,https://www.marriott.com/hotel-search/myrtle-beach.hotels.south-carolina.united-states.travel/
Napa Hotels,https://www.marriott.com/hotel-search/napa.hotels.california.united-states.travel/
Niagara Falls Hotels,https://www.marriott.com/hotel-search/niagara-falls.hotels.canada.travel/
Palm Springs Hotels,https://www.marriott.com/hotel-search/palm-springs.hotels.california.united-states.travel/
Park City Hotels,https://www.marriott.com/hotel-search/park-city.hotels.utah.united-states.travel/
Rome Hotels,https://www.marriott.com/hotel-search/rome.hotels.italy.travel/
San Juan Hotels,https://www.marriott.com/hotel-search/san-juan.hotels.puerto-rico.travel/
Sarasota Hotels,https://www.marriott.com/hotel-search/sarasota.hotels.florida.united-states.travel/
South Padre Island Hotels,https://www.marriott.com/hotel-search/south-padre-island.hotels.texas.united-states.travel/
Sydney Hotels,https://www.marriott.com/hotel-search/sydney.hotels.australia.travel/
Tokyo Hotels,https://www.marriott.com/hotel-search/tokyo.hotels.japan.travel/
Toronto Hotels,https://www.marriott.com/hotel-search/toronto.hotels.canada.travel/
Tucson Hotels,https://www.marriott.com/hotel-search/tucson.hotels.arizona.united-states.travel/
Vancouver Hotels,https://www.marriott.com/hotel-search/vancouver.hotels.canada.travel/
Venice Hotels,https://www.marriott.com/hotel-search/venice.hotels.italy.travel/
Virginia Beach Hotels,https://www.marriott.com/hotel-search/virginia-beach.hotels.virginia.united-states.travel/
Virgin Islands (US) Hotels,https://www.marriott.com/hotel-search/virgin-islands-us.hotels/
West Palm Beach Hotels,https://www.marriott.com/hotel-search/west-palm-beach.hotels.florida.united-states.travel/
